Id,Archivo,Auditorio,Biblioteca,Centro_cultural,Centro_de_interpretacion,Centro_docente,Cine,Galeria_de_arte,Museo,Sala_de_conciertos,Sala_de_exposiciones,Sala_polivalente,Teatro,Idmuni,Denominacion,Direccion,Codpos,Telefono,Fax,Mail,Web,Horario,Instalaciones,Aforo,Idtitular,Facebook,Youtube,Tweeter,Imag01,Imag02,Usuario,Fechor,lat,lng,usoprincipal
1,n,n,n,s,n,n,n,n,n,s,n,n,n,58,Ábaco. Mansión Canaria,c/ Casa Grande. Urb. El Durazno,38400,922 370 107,922 370 630,,http://www.abacotenerife.com,Casa museo: 10:00 a 13:30,"Durante la Temporada de Invierno, los domingo a las 19:30 en el salón del piano tiene lugar la celebración de un concierto de música clásica a cargo de alguno de los componentes de la Orquesta Sinfónica de Tenerife.",0,1,,,,tfabaco.jpg,blanco.jpg,mgonjorf,2016-02-23 14:41:18,28.4056560772644,-16.5330818328399,centro cultural
2,n,s,n,s,n,n,s,n,n,s,n,s,n,36,Aguere Espacio Cultural,"c/ Herradores, 47",38201,,,info@aguerecultural.com,http://www.aguerecultural.com/,,"4 salas, preparadas ",0,1,https://www.facebook.com/aguerecultural,,,tfaguereespaciocultural.jpg,blanco.jpg,marieli,2016-04-15 14:39:11,28.4875195325941,-16.3169312970497,centro cultural
3,n,n,n,n,n,n,n,n,s,n,n,n,n,10,Almacén de Tomates Los Velázquez,c/ Federico Díaz Bertrana,35470,928 892 485 / 629 487 907,928 892 485,proyectolaaldea@gmail.com,http://www.proyectolaaldea.com,,Proyecto de revalorización de la cultura popular canaria,0,1,,,,gcalmacentomates.jpg,blanco.jpg,nieduq,2015-07-24 14:06:16,27.9846632123234,-15.7814787735008,museo / centro de interpretación
4,n,n,n,s,n,n,n,n,n,n,n,s,n,2,Ámbito Cultural de El Corte Inglés. Las Palmas de Gran Canaria,"c/ Mesa y López, 15",35006,928 263 000,,,http://www.ambitocultural.es,,,0,151,,,,gcelcorteingles.jpg,blanco.jpg,marieli,2016-03-08 11:33:58,28.1349410830699,-15.4317476115500,centro cultural
5,n,n,n,s,n,n,n,n,n,n,s,s,n,3,Ámbito Cultural de El Corte Inglés. Santa Cruz de Tenerife,"Avda. Tres de Mayo, 7",38003,922 849 400,,,http://www.ambitocultural.es,,,0,151,,,,tfambitoculturalext.jpg,tfambitoculturalint.jpg,marieli,2016-03-08 12:41:52,28.4592783034084,-16.2537918521719,centro cultural
6,n,n,s,n,n,n,n,n,n,n,n,n,n,4,Anexo Biblioteca Manuel Alemán en El Risco,Local El Risco s/n,35489,928 554 428,928 886 042,,http://www.aytoagaete.es/biblioteca.htm,Lunes a viernes de 16:00 a 20:00 horas.,,0,22,,,,gcanexobibliorisco.jpg,blanco.jpg,nieduq,2015-07-24 14:10:00,28.0461780562026,-15.7257336578009,biblioteca
7,n,n,s,n,n,n,n,n,n,n,n,n,n,4,Anexo Biblioteca Manuel Alemán en Valle de Agaete,Vecindad de enfrente s/n. Valle de Agete,35489,928 554 428,928 886 042,,http://www.aytoagaete.es/biblioteca.htm,Horario: Lunes a viernes de 16:00 a 20:00 horas.,,0,22,,,,gcbibliomanuelaleman.jpg,blanco.jpg,nieduq,2015-07-24 14:12:53,28.0783063160878,-15.6721973829076,biblioteca
8,n,n,n,n,n,n,n,n,n,n,n,s,n,27,Anfiteatro El Pavón,Avenida Central Alcalde Florencio Suárez,35572,928833619 ext.2203,, vluna@ayuntamientodetias.es,http://www.ayuntamientodetias.es/,,"Dimensiones: 596,30m2Escenario: 14*10 m- Altura: 5mDimensiones Totales:  5.136,70m2Accesos: 5Uso: Zona de recreoObstáculos: Jardines, desniveles, partellerres, bancos y parque infantil.Escenario: 6,17*5,06mCapacidad de público: 500 personasFecha edificación: 1989",500,108,,,,lzanfiteatropavonext.jpg,lzanfiteatropavonint.jpg,marieli,2016-03-15 12:44:18,28.9538070702949,-13.6507808702363,centro cultural
9,s,n,s,s,n,n,n,n,s,n,s,n,n,47,Antiguo Convento de San Francisco,"Glorieta de San Francisco, s/n",38450,922 830 001,,,http://goo.gl/1HN6NL,Horario de visitas: lunes a viernes de 10:00 a 19:00h. Sábados de 10:00 a 15:00h. Biblioteca Municipal: lunes a viernes de 16:00 a 18:00 horas. Archivo Municipal: lunes a viernes de 9:00 a 15:00h.,"Alberga el Archivo Municipal, la Bibilioteca Pública y la Casa de la Cultura, además de dos salas con exposiciones permanentes",0,51,,,,tfconvsfranciscogaraext.jpg,tfconvsfranciscogaraint.jpg,jugarrode,2016-02-15 14:25:51,28.3730360094887,-16.7639696641014,centro cultural
10,n,s,n,n,n,n,n,n,s,n,s,n,n,47,Antiguo Convento de Santo Domingo,"Plza. de Santo Domingo, 1",38450,922 830 271 / 922 830 000,,,http://goo.gl/LMYJpd,Horario de visitas: Lunes a Viernes 10:00 a 13:00h. 16:00 a 18:00h.,"Alberga el Auditorio Municipal, con capacidad para 300 personas, y el Museo de Arte Contemporáneo",300,51,,,,tfconvsdomingogaraext.jpg,tfconvsdomingogaraint.jpg,desrie,2015-07-28 13:56:10,28.3737363030609,-16.7588523695432,museo / centro de interpretación
